City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
405,Davila,PH,82.4,moderate rain,18.47,120.58,SITIO 3 DAVILA PASUQUIN
410,Cairns,AU,87.8,broken clouds,-16.92,145.77,Mantra Trilogy Cairns
411,Inirida,CO,76.24,overcast clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
413,Pontianak,ID,79.65,overcast clouds,-0.03,109.33,Aston Pontianak Hotel & Convention Center
418,Hobyo,SO,78.76,scattered clouds,5.35,48.53,Halane Hotel and Restaurent
420,Ygatimi,PY,76.01,clear sky,-24.08,-55.5,
423,Dabakala,CI,76.23,scattered clouds,8.37,-4.43,Hôtel Campement
427,Angoche,MZ,77.4,clear sky,-16.23,39.91,Guest House HESADA
431,Papar,MY,84.2,few clouds,5.73,115.93,Pandan Hotel
434,Biak,ID,81.91,moderate rain,-0.91,122.88,Kost Ariz
436,Siocon,PH,87.21,scattered clouds,7.71,122.14,MSWDO
442,Kudahuvadhoo,MV,82.0,light rain,2.67,72.89,Kudahuvadhoo Retreat
443,Bairiki,KI,86.0,broken clouds,1.33,172.98,Tarawa Boutique Hotel
446,Kpandae,GH,76.95,clear sky,8.47,-0.01,S. Amaski Guest House
457,Bonfim,BR,80.04,broken clouds,3.08,-59.95,
465,Polewali,ID,87.71,broken clouds,-3.43,119.34,Lilianto Hotel
477,Villa Maria,AR,80.01,clear sky,-32.41,-63.24,Hotel Milenium
478,Caucaia,BR,82.4,broken clouds,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
479,Anloga,GH,80.6,few clouds,5.79,0.9,Pin Drop Hotel
480,Ahuimanu,US,82.4,broken clouds,21.44,-157.84,Paradise Bay Resort
483,Mandera,KE,80.11,few clouds,3.94,41.87,Kornesh Hotel and Lodging
486,Kandi,BJ,78.24,broken clouds,11.13,2.94,Maison des producteurs kandi
488,Kualakapuas,ID,78.8,few clouds,-3.01,114.39,Guest House Izonk
495,Morondava,MG,75.88,clear sky,-20.28,44.28,La Case Bambou
497,Axim,GH,78.04,broken clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
501,Buala,SB,86.77,light rain,-8.14,159.59,Maringe Lagoon Lodge
503,Merauke,ID,86.0,overcast clouds,-8.47,140.33,
520,Port Pirie,AU,87.8,scattered clouds,-33.18,138.02,John Pirie Motor Inn
522,The Valley,AI,79.0,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
525,Dalby,AU,86.0,clear sky,-27.18,151.27,Kobbers Motor Inn Dalby
