City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Narsaq,GL,60.92,-46.05,24.8,68,100,19.46,light snow
109,Tasiilaq,GL,65.61,-37.64,17.6,44,1,18.34,light shower snow
110,Kernersville,US,36.12,-80.07,54.0,81,90,3.36,overcast clouds
111,Kyshtovka,RU,56.55,76.63,3.76,94,16,4.54,few clouds
112,Carnarvon,AU,-24.87,113.63,73.4,46,0,24.16,clear sky
113,Fairbanks,US,64.84,-147.72,12.99,78,90,9.17,overcast clouds
114,Port Alfred,ZA,-33.59,26.89,64.9,76,60,26.42,broken clouds
115,Solotvyno,UA,47.95,23.87,30.2,92,99,2.24,overcast clouds
116,Jamestown,US,42.1,-79.24,42.01,86,90,6.93,overcast clouds
117,Jacareacanga,BR,-6.22,-57.75,73.9,87,0,1.79,clear sky
118,Cabo San Lucas,MX,22.89,-109.91,75.2,73,20,3.36,few clouds
119,Ilulissat,GL,69.22,-51.1,12.2,56,0,19.46,clear sky
120,Alexandria,EG,31.22,29.96,55.4,100,20,2.24,few clouds
121,Jogeva,EE,58.75,26.39,35.6,89,93,9.17,overcast clouds
122,Laguna,US,38.42,-121.42,54.0,43,1,3.36,clear sky
123,Ust-Ishim,RU,57.69,71.17,5.81,95,81,4.47,broken clouds
124,Saint-Philippe,RE,-21.36,55.77,71.6,68,20,8.05,few clouds
125,Geraldton,AU,-28.77,114.6,69.8,37,0,19.46,clear sky
126,Longyearbyen,SJ,78.22,15.64,33.8,69,75,41.38,broken clouds
127,Ushtobe,KZ,45.25,77.98,32.52,88,100,2.21,overcast clouds
128,Chokurdakh,RU,70.63,147.92,-9.9,92,98,4.07,overcast clouds
129,Avera,US,33.19,-82.53,59.0,77,1,1.92,clear sky
130,Bembereke,BJ,10.23,2.66,78.17,48,44,4.56,scattered clouds
131,Albury,AU,-36.08,146.92,102.2,17,77,17.22,broken clouds
132,Severo-Kurilsk,RU,50.68,156.12,28.71,91,80,18.25,broken clouds
133,Bluff,NZ,-46.6,168.33,63.0,49,100,3.0,overcast clouds
134,Carballo,ES,43.21,-8.69,50.0,100,90,5.82,fog
135,Marawi,PH,8.0,124.29,82.99,80,32,3.0,scattered clouds
136,San Miguel,SV,13.48,-88.18,74.71,90,99,2.13,overcast clouds
137,Ionia,US,42.99,-85.07,36.0,74,40,9.17,scattered clouds
138,Sitka,US,57.05,-135.33,37.4,74,90,5.3,overcast clouds
139,Tiksi,RU,71.69,128.87,0.3,91,96,7.16,overcast clouds
140,East London,ZA,-33.02,27.91,64.49,77,73,21.54,broken clouds
141,Tungor,RU,53.38,142.96,20.1,95,97,13.38,overcast clouds
142,Beyneu,KZ,45.32,55.2,24.84,97,0,3.09,clear sky
143,Namibe,AO,-15.2,12.15,72.0,72,97,6.82,overcast clouds
144,Cranbrook,CA,49.5,-115.77,37.4,64,75,13.87,broken clouds
145,Beringovskiy,RU,63.05,179.32,17.87,96,78,13.22,broken clouds
146,Gola Gokarannath,IN,28.08,80.47,58.5,50,0,5.66,clear sky
147,Loanda,AO,-8.84,13.23,78.8,83,75,5.82,broken clouds
148,Ribeira Grande,PT,38.52,-28.7,56.62,65,54,22.53,broken clouds
149,Talnakh,RU,69.49,88.4,10.4,85,40,22.37,light snow
150,Nhulunbuy,AU,-12.23,136.77,91.4,49,44,10.29,scattered clouds
151,Burnie,AU,-41.07,145.92,55.99,87,100,8.01,light rain
152,La Tuque,CA,47.43,-72.78,33.8,100,100,2.24,overcast clouds
153,Na Wa,TH,17.49,104.1,77.0,78,0,3.36,clear sky
154,Sikasso,ML,10.92,-7.0,70.93,25,1,1.57,clear sky
155,Ulaangom,MN,49.98,92.07,11.19,91,95,4.52,overcast clouds
156,Umm Bab,QA,25.21,50.81,75.2,73,75,6.93,broken clouds
157,Hasaki,JP,35.73,140.83,59.0,67,20,9.17,few clouds
158,Portland,US,45.52,-122.68,42.8,87,75,3.36,broken clouds
159,Itoman,JP,26.12,127.67,71.6,64,40,25.28,scattered clouds
160,San Vicente,AR,-26.62,-54.13,69.8,88,18,3.89,light rain
161,Mount Isa,AU,-20.73,139.5,96.8,28,61,12.75,broken clouds
162,Vilhena,BR,-12.74,-60.15,69.33,93,42,2.89,scattered clouds
163,Thompson,CA,55.74,-97.86,19.4,92,90,2.24,overcast clouds
164,Bambanglipuro,ID,-7.95,110.28,84.42,68,40,7.61,scattered clouds
165,Ancud,CL,-41.87,-73.82,55.99,100,75,13.87,broken clouds
166,Changzhou,CN,31.78,119.97,51.01,75,48,1.01,scattered clouds
167,Constitucion,CL,-35.33,-72.42,53.49,85,0,13.24,clear sky
168,Fort Nelson,CA,58.81,-122.7,12.2,85,20,2.04,few clouds
169,Coquimbo,CL,-29.95,-71.34,55.4,93,0,8.05,clear sky
170,Victoria,HK,22.29,114.16,68.0,69,87,3.0,overcast clouds
171,Grindavik,IS,63.84,-22.43,33.8,74,75,34.45,shower rain
172,Almaznyy,RU,48.04,40.05,35.6,93,75,6.71,broken clouds
173,Lebu,CL,-37.62,-73.65,52.99,89,100,6.11,overcast clouds
174,Pirganj,BD,25.85,88.36,65.46,69,0,4.0,clear sky
175,Tuatapere,NZ,-46.13,167.68,63.0,49,100,3.0,overcast clouds
176,Jalu,LY,29.03,21.55,53.51,79,0,4.52,clear sky
177,Guerrero Negro,MX,27.98,-114.06,64.29,37,100,5.21,overcast clouds
178,Uchiza,PE,-8.46,-76.46,74.28,76,98,2.33,moderate rain
179,Iqaluit,CA,63.75,-68.51,23.0,85,90,16.11,light snow
180,Samarai,PG,-10.62,150.67,82.08,73,82,6.08,broken clouds
181,Waddan,LY,29.16,16.14,57.67,48,0,12.19,clear sky
182,Laela,TZ,-8.57,32.05,61.81,77,92,1.01,overcast clouds
183,Vao,NC,-22.67,167.48,73.17,73,42,17.13,scattered clouds
184,Hilton Head Island,US,32.22,-80.75,64.0,88,1,5.12,clear sky
185,Aklavik,CA,68.22,-135.01,-0.4,84,40,4.7,scattered clouds
186,Husavik,IS,66.04,-17.34,35.6,43,20,16.11,few clouds
187,Calabar,NG,4.95,8.32,74.71,95,0,0.85,clear sky
188,Saint George,US,37.1,-113.58,45.0,24,1,3.36,clear sky
189,Cap Malheureux,MU,-19.98,57.61,73.99,77,0,4.0,clear sky
190,Mecca,SA,21.43,39.83,72.99,66,5,4.99,clear sky
191,Olavarria,AR,-36.89,-60.32,73.99,65,0,4.0,clear sky
192,Vardo,NO,70.37,31.11,35.24,85,31,16.93,scattered clouds
193,Tuktoyaktuk,CA,69.45,-133.04,5.0,77,90,2.24,light snow
194,Babu,CN,24.42,111.52,54.91,58,8,7.45,clear sky
195,Newcastle,AU,-32.93,151.78,99.0,26,92,17.22,overcast clouds
196,Port Macquarie,AU,-31.43,152.92,98.01,36,0,1.01,clear sky
197,Barabai,ID,-2.58,115.38,84.58,67,100,2.66,overcast clouds
198,Road Town,VG,18.42,-64.62,78.01,88,40,3.36,scattered clouds
199,Vila Velha,BR,-20.33,-40.29,75.2,88,75,4.7,broken clouds
200,Kenora,CA,49.82,-94.43,26.6,79,75,14.99,broken clouds
201,Mazyr,BY,52.05,29.25,36.5,96,100,8.37,overcast clouds
202,Formosa,AR,-26.18,-58.18,80.6,83,0,3.36,clear sky
203,Grand Gaube,MU,-20.01,57.66,73.99,77,0,4.0,clear sky
204,Kapaa,US,22.08,-159.32,80.6,65,20,21.92,few clouds
205,Provideniya,RU,64.38,-173.3,22.59,93,67,9.08,broken clouds
206,Sotouboua,TG,8.57,0.98,75.2,88,75,2.62,broken clouds
207,Gat,IL,31.61,34.76,55.4,93,75,1.12,broken clouds
208,Morros,BR,-9.45,-46.3,73.99,77,100,3.42,overcast clouds
209,Norman Wells,CA,65.28,-126.83,-5.8,83,75,4.7,broken clouds
210,Codrington,AU,-38.27,141.97,63.5,74,100,15.08,light rain
211,Parabel,RU,58.7,81.48,3.02,94,52,5.77,broken clouds
212,Bambous Virieux,MU,-20.34,57.76,75.2,78,75,6.93,shower rain
213,Lasa,IT,46.62,10.7,26.6,86,5,3.36,clear sky
214,San Policarpo,PH,12.18,125.51,82.96,82,100,11.81,overcast clouds
215,Nha Trang,VN,12.25,109.18,77.0,88,75,14.99,moderate rain
216,Kankan,GN,10.39,-9.31,71.85,28,1,2.77,clear sky
217,Dingle,PH,11.0,122.67,84.18,77,67,12.71,broken clouds
218,Karachi,PK,24.91,67.08,60.8,48,0,13.87,haze
219,Shimoda,JP,34.67,138.95,64.4,52,75,8.05,broken clouds
220,La Ronge,CA,55.1,-105.28,30.2,68,2,5.82,clear sky
221,Sohag,EG,26.56,31.69,53.6,62,0,5.82,clear sky
222,Tartagal,AR,-22.52,-63.8,76.84,69,69,3.91,broken clouds
223,Luderitz,NA,-26.65,15.16,57.2,93,0,12.75,clear sky
224,Mogadishu,SO,2.04,45.34,79.21,82,36,15.84,moderate rain
225,Isangel,VU,-19.55,169.27,82.4,61,40,5.82,scattered clouds
226,Dikson,RU,73.51,80.55,26.26,99,100,17.16,light snow
227,Chernyshevskiy,RU,63.01,112.47,-9.8,92,83,2.66,broken clouds
228,Bredasdorp,ZA,-34.53,20.04,64.4,68,100,11.41,overcast clouds
229,Puerto Escondido,MX,15.85,-97.07,82.4,74,5,4.16,clear sky
230,Yumen,CN,40.28,97.2,20.79,80,71,3.91,broken clouds
231,Sobolevo,RU,54.43,31.9,30.67,98,55,4.5,broken clouds
232,San Rafael,AR,-34.62,-68.33,78.55,40,0,8.79,clear sky
233,Lorengau,PG,-2.02,147.27,84.52,75,100,6.42,light rain
234,Bathsheba,BB,13.22,-59.52,77.0,88,40,14.99,scattered clouds
